subID,event,group,AlphabetKnowledge_Upper,AlphabetKnowledge_Lower,AlphabetKnowledge,Decoding,PhonemeMatching,PhonemeSegmenting,EVTRaw,Retell,Grammar,visit
1505,Visit 3,Language,38,30,68,0,11,1,99,11,10,post
1673,Visit 2,Letter,48,42,90,0,15,0,77,18,11,pre
1673,Visit 3,Letter,48,46,94,1,8,2,85,15,12,post
1676,Visit 2,Letter,46,35,81,0,14,0,79,8,8,pre
1676,Visit 3,Letter,47,47,94,10,12,3,84,16,11,post
1691,Visit 2,Letter,10,7,17,0,7,1,75,9,8,pre
1691,Visit 3,Letter,15,12,27,0,9,3,81,13,11,post
1706,Visit 2,Letter,37,35,72,5,15,3,81,17,13,pre
1706,Visit 3,Letter,42,38,80,9,12,4,97,14,11,post
1714,Visit 2,Letter,39,32,71,0,11,2,97,9,6,pre
1714,Visit 3,Letter,45,44,89,1,7,0,81,19,13,post
1715,Visit 2,Letter,40,36,76,0,6,0,86,12,9,pre
1715,Visit 3,Letter,45,45,90,16,11,4,93,10,8,post
1750,Visit 2,Language,39,39,78,0,8,0,86,0,0,pre
1750,Visit 3,Language,40,39,79,0,9,0,91,10,10,post
1751,Visit 2,Letter,43,37,80,0,11,0,97,17,13,pre
1751,Visit 3,Letter,46,40,86,0,7,0,93,17,11,post
1756,Visit 2,Language,11,8,19,0,6,1,102,19,11,pre
1756,Visit 3,Language,13,5,18,0,11,1,104,18,12,post
1762,Visit 2,Letter,32,24,56,0,8,2,70,10,9,pre
1762,Visit 3,Letter,37,31,68,0,9,1,68,16,13,post
1768,Visit 2,Letter,17,12,29,0,9,2,94,15,11,pre
1768,Visit 3,Letter,23,17,40,0,8,1,99,11,9,post
1790,Visit 2,Letter,17,11,28,0,10,0,77,3,3,pre
1790,Visit 3,Letter,23,25,48,2,11,1,84,10,7,post
1798,Visit 2,Language,46,34,80,0,12,1,75,14,9,pre
1798,Visit 3,Language,44,37,81,0,9,1,81,7,7,post
1812,Visit 2,Language,43,36,79,0,8,1,67,16,13,pre
1812,Visit 3,Language,39,30,69,0,10,3,82,21,14,post
1818,Visit 2,Letter,30,19,49,0,8,2,88,6,6,pre
1818,Visit 3,Letter,39,23,62,0,8,1,80,9,8,post
1868,Visit 2,Language,49,39,88,1,14,2,80,9,8,pre
1868,Visit 3,Language,47,46,93,0,15,2,83,5,5,post
1869,Visit 2,Letter,45,42,87,0,13,0,106,12,11,pre
1869,Visit 3,Letter,45,46,91,0,6,1,108,19,12,post
1878,Visit 2,Language,48,42,90,14,8,9,100,10,10,pre
1878,Visit 3,Language,47,41,88,9,12,8,85,15,11,post
1887,Visit 2,Letter,47,45,92,0,13,4,87,3,6,pre
1887,Visit 3,Letter,50,48,98,12,11,3,89,19,13,post
1901,Visit 2,Letter,32,30,62,0,12,0,70,4,4,pre
1901,Visit 3,Letter,35,21,56,0,8,2,65,7,7,post
1916,Visit 2,Letter,38,37,75,0,9,1,85,8,7,pre
1916,Visit 3,Letter,41,37,78,0,12,2,91,19,13,post
1921,Visit 2,Language,49,44,93,2,11,0,83,8,7,pre
1921,Visit 3,Language,49,50,99,11,14,0,93,19,13,post
1936,Visit 2,Language,37,20,57,0,9,1,67,18,11,pre
1936,Visit 3,Language,31,18,49,0,8,0,69,12,9,post
1939,Visit 2,Language,42,33,75,0,11,1,85,16,11,pre
1939,Visit 3,Language,40,29,69,0,10,1,85,16,12,post
1940,Visit 2,Language,28,26,54,0,10,2,83,18,11,pre
1940,Visit 3,Language,35,24,59,0,10,1,94,NaN,12,post
1951,Visit 2,Letter,50,46,96,3,12,2,85,15,11,pre
1951,Visit 3,Letter,50,48,98,16,10,4,105,10,10,post
1964,Visit 2,Letter,21,22,43,0,9,0,71,12,10,pre
1964,Visit 3,Letter,28,28,56,7,11,1,74,14,12,post
1966,Visit 2,Language,46,40,86,0,14,4,105,13,9,pre
1966,Visit 3,Language,45,45,90,1,13,2,114,19,13,post
2085,Visit 2,Letter,30,22,52,0,10,0,71,NaN,NaN,pre
2085,Visit 3,Letter,43,33,76,8,8,0,72,NaN,NaN,post
2090,Visit 2,Letter,45,38,83,0,14,2,85,NaN,NaN,pre
2090,Visit 3,Letter,45,47,92,3,12,2,95,NaN,NaN,post
2091,Visit 2,Letter,37,30,67,0,12,1,72,NaN,NaN,pre
2091,Visit 3,Letter,43,37,80,3,10,2,81,NaN,NaN,post
2106,Visit 2,Letter,24,23,47,0,9,1,79,NaN,NaN,pre
2106,Visit 3,Letter,25,29,54,2,5,2,91,NaN,NaN,post
2110,Visit 2,Letter,10,10,20,0,12,1,77,NaN,NaN,pre
2110,Visit 3,Letter,20,25,45,5,9,2,74,NaN,NaN,post
2116,Visit 2,Letter,46,41,87,0,13,3,83,NaN,NaN,pre
2116,Visit 3,Letter,48,48,96,12,14,6,93,NaN,NaN,post
2118,Visit 2,Letter,28,22,50,0,11,0,87,NaN,NaN,pre
2118,Visit 3,Letter,36,32,68,0,13,1,72,NaN,NaN,post
2135,Visit 2,Letter,43,42,85,0,10,1,76,NaN,NaN,pre
2135,Visit 3,Letter,49,49,98,18,12,2,80,NaN,NaN,post
2136,Visit 2,Letter,37,18,55,0,7,0,68,NaN,NaN,pre
2136,Visit 3,Letter,41,36,77,0,8,1,75,NaN,NaN,post
2171,Visit 2,Letter,18,8,26,0,11,0,94,NaN,NaN,pre
2171,Visit 3,Letter,19,24,43,0,10,1,87,NaN,NaN,post
2172,Visit 2,Letter,18,10,28,0,6,0,82,NaN,NaN,pre
2172,Visit 3,Letter,31,33,64,0,13,2,89,NaN,NaN,post
2173,Visit 2,Letter,32,32,64,0,6,0,79,NaN,NaN,pre
2173,Visit 3,Letter,41,32,73,1,6,2,70,NaN,NaN,post
2174,Visit 2,Letter,15,5,20,0,11,1,83,NaN,NaN,pre
2174,Visit 3,Letter,18,15,33,0,10,0,89,NaN,NaN,post
2186,Visit 2,Letter,33,20,53,0,10,0,76,NaN,NaN,pre
2186,Visit 3,Letter,40,34,74,4,8,2,78,NaN,NaN,post
2212,Visit 2,Letter,34,29,63,0,9,2,90,NaN,NaN,pre
2212,Visit 3,Letter,41,40,81,0,9,1,91,NaN,NaN,post
2213,Visit 2,Letter,34,26,60,0,9,1,69,NaN,NaN,pre
2213,Visit 3,Letter,36,31,67,1,7,1,79,NaN,NaN,post
2244,Visit 2,Letter,36,29,65,0,5,1,73,NaN,NaN,pre
2244,Visit 3,Letter,42,43,85,0,8,1,81,NaN,NaN,post
2259,Visit 2,Letter,42,35,77,0,13,2,86,NaN,NaN,pre
2259,Visit 3,Letter,48,48,96,12,14,3,95,NaN,NaN,post
